File,Title,Author ID
360015610114.html,A customer says that their address is not coming up as valid on AliveCor.com when trying to place an order.  Is there anything we can do?,364531870727
360015572313.html,Why is my Height setting showing in centimeters on the Kardia App?,364531870727
360015323314.html,Does Kardia work if my heart rate is below 50 BPM or above 100 BPM? ,26786746567
360015389513.html,Current list of US/Canada Kardia resellers as of 1/7/19,364531870727
360015198813.html,Does altitude affect the performance of the Kardia devices?,364531870727
360014670494.html,"What is the ""GDPR"" and how does it relate to AliveCor?",364531870727
360014510474.html,Customer wants us to honor a discount/promo code that was/is not available when they went to purchase.,364531870727
360014054394.html,What is the correct process to submit an RMA for device return or warranty exchange?,364531870727
360013425674.html,There are fields in the Premium Insights area on the Kardia App that do not appear to be a function of Kardia (ex. Diet).  How does a customer input that information into their Insights,364531870727
360013537013.html,"If a customer did not receive their mailed summary report, can we send them a copy?",364531870727
360013252254.html,KardiaPro FAQ,364531870727
360013320233.html,Why is the password reset link I received in my email say that it has expired?,364531870727
360013280993.html,What readings can be generated by the Kardia Instant Analysis?,364531870727
360013184794.html,When should a Complaint support code vs. a Non-Complaint support code be used in Zendesk? (as of 12/6/18),364531870727
360013279093.html,Why is Smartrhythm detecting out of range heart beat ranges (the Orange bars) even though the heart beat is not outside the predicted range?,364531870727
360013008954.html,What specific FDA clearances do the KardiaMobile and KardiaBand have?,364531870727
360012906533.html,KardiaBand/Apple Watch Setup Instructions - as of App Ver. 5.4.2,364531870727
360002077248.html,How do I read the blood pressure history on the Kardia App and the Monthly Report?,364531870727
360002093427.html,How do I read an EKG and how does it relate to the troubleshooting of the Kardia devices?,364531870727
360002072088.html,Can more than one person use a KardiaMobile? ,26786746567
360002088427.html,Will the Kardia app Instant Analysis still detect Possible Atrial Fibrillation if the user has another existing heart arrhythmia? ,364531870727
360002047328.html,Authorized International Resellers NOT listed on the AliveCor website,364531870727
360002043468.html,I have an older version of the KardiaMobile device.  What model battery should be used when replacing the battery?,364531870727
360002040148.html,My Doctor and/or I disagree with the Instant Analysis result for the EKG reading,364531870727
360002038928.html,When will a device be on the AliveCor compatibility list?,364531870727
360002019948.html,Why is the Kardia App not asking to access the microphone on my Apple iPhone running iOS 12?,364531870727
360002031607.html,Where in the United States can Alivecor.com ship the Kardia devices to?,364531870727
360002031567.html,What is a Potential Adverse Event and how does Zendesk need to be coded if we receive a call to that effect?,364531870727
360002011648.html,My customer claims she did not get her mailed report.,364531870727
360002011628.html,How much does Premium Service cost outside of the United States?,364531870727
360002011608.html,How does a customer pay for Kardia Pro?,364531870727
360002011588.html,Why doesn’t Shopify load on my browser?,364531870727
360002011548.html,When does the customer get their mailed monthly reports?,364531870727
360002031507.html,Why doesn’t a customer have an option for a Clinician Review?,364531870727
360002011508.html,Why can’t I take a screenshot from the AliveCor App on an Android phone?,364531870727
360002011488.html,How do I remove the current Apple Watch band from the Apple Watch to install the KardiaBand?,364531870727
360001941227.html,How to set up your KardiaMobile,26786746567
360001909968.html,"Why is this Called an EKG, when it is a Single Lead Rhythm Strip? ",26786746567
360001907587.html,How Does a User Change the Battery on Older Kardia Mobile Models? ,26786746567
360001888448.html,Which Countries Can Purchase Clinician Reviews? ,26786746567
360001828067.html,What Countries is the KardiaBand sold in? ,26786746567
360001744468.html,I am not getting Kardia Notifications on my Apple watch,820911804
360001752107.html,Do Kardia Products Calculate Heart Rate Variability (HRV),26786746567
360001740047.html,"My app errors when logging in and says ""Canceled""",820911804
360001714568.html,Why is premium required for KardiaBand but not for KardiaMobile? ,26786746567
360001440588.html,Does Kardia Mobile check for heart attack signs or stroke signs? ,26786746567
360001162868.html,Cardiac Rehab Centers Promo Code TD6PWMCZ,26786746567
360000739468.html,Compatibility,820911804
360000531907.html,I need to cancel my order,26786746567
360000532668.html,How do I remove my consent from the app? ,26786746567
360000517567.html,Can Kardia Mobile or Kardia Band detect Arrhythmias other than AFIb?  ,26786746567
360000468567.html,How do I move my Kardia Mobile to a new phone?,26786746567
360000468547.html,"If I have Dextrocardia, can I use Kardia Mobile? ",26786746567
360000472528.html,My doctor does not agree with my Kardia Mobile system generated EKG analysis.,26786746567
360000449328.html,Can Kardia Mobile record my QT interval?,26786746567
360000303828.html,How do you turn off Medication Notifications? ,26786746567
360000296847.html,What risk is involved in lowering the sensitivity for SmartRhythm Notifications? ,26786746567
360000102447.html,Can Kardia Mobile give QTC readings? ,26786746567
360000110528.html,Can I take an EKG if I have one hand? ,26786746567
360000110508.html,How Do I get a User Manual? ,26786746567
360000093368.html,What is the difference between Kardia Mobile and a 12 lead EKG ,26786746567
